fecha-hora  NombreArchivo
2022-11-29 18:09:17.446572 GUI.py
2022-11-29 18:09:21.005704 GUI.py
2022-11-29 18:09:24.037681 GUI.py
2022-11-29 18:10:54.413739 GUI.py
2022-11-29 18:14:36.902026 GUI.py
2022-11-29 18:15:38.109983 GUI.py
2022-11-29 18:16:27.061996 GUI.py
2022-11-29 18:17:12.036889 GUI.py
2022-11-29 18:18:46.044492 GUI.py
2022-11-29 18:54:30.317905 GUI.py
2022-11-29 18:55:01.479063 GUI.py
2022-11-29 18:55:12.609067 GUI.py
2022-11-29 18:55:44.466721 GUI.py
2022-11-29 18:55:59.339356 GUI.py
2022-11-29 19:27:42.863613 GUI.py
2022-11-29 19:30:21.032762 GUI.py
2022-11-29 19:46:30.932844 GUI.py
2022-11-29 19:48:27.135371 GUI.py
2022-11-29 19:49:51.218035 GUI.py
2022-11-29 19:50:26.055248 GUI.py
2022-11-29 19:52:14.207538 GUI.py
2022-11-29 19:52:29.184658 GUI.py
2022-11-29 19:52:42.221402 GUI.py
2022-11-29 19:56:14.643431 GUI.py
2022-11-29 19:58:46.996485 GUI.py
2022-11-29 20:00:55.657264 GUI.py
2022-11-29 20:00:57.049001 GUI.py
2022-11-29 20:00:58.209745 GUI.py
2022-11-29 20:00:58.664774 GUI.py
2022-11-29 20:02:26.644078 GUI.py
2022-11-29 20:02:43.450130 GUI.py
2022-11-29 20:03:02.158749 GUI.py
2022-11-29 20:04:53.304945 GUI.py
2022-11-29 20:05:04.394208 GUI.py
2022-11-29 20:05:27.106170 GUI.py
2022-11-29 20:06:26.179146 GUI.py
2022-11-29 20:07:57.948949 GUI.py
2022-11-29 20:09:15.601385 GUI.py
2022-11-29 20:10:26.329387 GUI.py
2022-11-29 20:10:52.339108 GUI.py
2022-11-29 20:12:19.498791 GUI.py
2022-11-29 20:24:06.201504 GUI.py
2022-11-29 20:24:10.817026 GUI.py
2022-11-29 20:24:53.084246 GUI.py
2022-11-29 18:36:12.354878 GUI.py
2022-11-29 18:39:01.890830 GUI.py
2022-11-29 18:40:08.194596 GUI.py
2022-11-29 18:40:34.881930 GUI.py
2022-11-29 18:42:14.394428 GUI.py
2022-11-29 18:44:32.217161 GUI.py
2022-11-29 19:08:41.598886 GUI.py
2022-11-29 19:08:54.070622 GUI.py
2022-11-29 19:10:13.214646 GUI.py
2022-11-29 19:12:28.486817 GUI.py
2022-11-29 19:13:21.118235 GUI.py
2022-11-29 19:14:54.013959 GUI.py
2022-11-29 19:17:48.718317 GUI.py
2022-11-29 19:18:23.309366 GUI.py
2022-11-29 19:20:00.628557 GUI.py
2022-11-29 19:21:01.940517 GUI.py
2022-11-29 19:24:20.741067 GUI.py
2022-11-29 19:28:58.788394 GUI.py
2022-11-29 19:29:37.659414 GUI.py
2022-11-29 19:30:06.228163 GUI.py
2022-11-29 19:32:57.770993 GUI.py
2022-11-29 19:33:26.307120 GUI.py
2022-11-29 19:34:04.370836 GUI.py
2022-11-29 19:37:06.986930 GUI.py
2022-11-29 19:39:07.914694 GUI.py
2022-11-29 19:39:47.683145 GUI.py
2022-11-29 19:41:28.298724 GUI.py
2022-11-29 19:41:38.178103 GUI.py
2022-11-29 19:41:43.257848 GUI.py
2022-11-29 19:41:46.705979 GUI.py
2022-11-29 19:42:22.650554 GUI.py
2022-11-29 19:49:27.193218 GUI.py
2022-11-29 19:50:01.289516 GUI.py
2022-11-29 19:51:30.368623 GUI.py
2022-11-29 19:52:19.553437 GUI.py
2022-11-29 19:53:43.097247 GUI.py
2022-11-29 19:56:58.824593 GUI.py
2022-11-29 19:58:22.856787 GUI.py
2022-11-29 19:59:21.943996 GUI.py
2022-11-29 20:01:28.128314 GUI.py
2022-11-29 20:02:18.024038 GUI.py
2022-11-29 20:03:47.790941 GUI.py
2022-11-29 20:03:48.662926 GUI.py
2022-11-29 20:03:49.382948 GUI.py
2022-11-29 20:05:06.862981 GUI.py
2022-11-29 20:05:23.478788 GUI.py
2022-11-29 20:06:23.647372 GUI.py
2022-11-29 20:07:00.575393 GUI.py
2022-11-29 20:08:17.015295 GUI.py
2022-11-29 20:10:26.862952 GUI.py
2022-11-29 20:11:25.846807 GUI.py
2022-11-29 20:12:32.582595 GUI.py
2022-11-29 20:12:36.037893 GUI.py
2022-11-29 20:12:36.725931 GUI.py
2022-11-29 20:13:21.221801 GUI.py
2022-11-29 20:14:25.022598 GUI.py
2022-11-29 20:15:01.638520 GUI.py
2022-11-29 20:16:12.238162 GUI.py
2022-11-29 20:18:09.797877 GUI.py
2022-11-29 20:19:15.653197 GUI.py
2022-11-29 20:19:21.957257 GUI.py
2022-11-29 20:19:22.389469 GUI.py
2022-11-29 20:19:22.573054 GUI.py
2022-11-29 20:19:22.741415 GUI.py
2022-11-29 20:19:22.869235 GUI.py
2022-11-29 20:19:23.036759 GUI.py
2022-11-29 20:19:23.197012 GUI.py
2022-11-29 20:20:05.452777 GUI.py
2022-11-29 20:21:05.373818 GUI.py
2022-11-29 20:21:14.516753 GUI.py
2022-11-29 20:22:04.269659 GUI.py
2022-11-29 20:22:31.749623 GUI.py
2022-11-29 20:23:33.052246 GUI.py
2022-11-29 20:23:42.996268 GUI.py
2022-11-29 20:25:03.165296 GUI.py
2022-11-29 20:25:35.189448 GUI.py
2022-11-29 20:27:34.756700 GUI.py
2022-11-29 20:28:17.772860 GUI.py
2022-11-29 20:29:07.260615 GUI.py
2022-11-29 20:29:24.324365 GUI.py
2022-11-29 20:30:33.795795 GUI.py
2022-11-29 20:32:44.676463 GUI.py
2022-11-29 20:33:17.980219 GUI.py
2022-11-29 20:35:59.523724 GUI.py
2022-11-29 20:37:47.859200 GUI.py
2022-11-29 20:38:05.682633 GUI.py
2022-11-29 20:41:07.579266 GUI.py
2022-11-29 20:41:44.626161 GUI.py
2022-11-29 20:45:04.066705 GUI.py
2022-11-29 20:52:03.792776 GUI.py
2022-11-29 20:55:09.161442 GUI.py
2022-11-29 20:55:34.426045 GUI.py
2022-11-29 20:56:13.785261 GUI.py
2022-11-29 20:57:29.264504 GUI.py
2022-11-29 20:59:18.032948 GUI.py
2022-11-29 21:00:42.471956 GUI.py
2022-11-29 21:01:28.848518 GUI.py
2022-11-29 21:02:25.536424 GUI.py
2022-11-29 21:02:58.016246 GUI.py
2022-11-29 21:04:10.687952 GUI.py
2022-11-29 21:06:11.631877 GUI.py
2022-11-29 21:08:07.311310 GUI.py
2022-11-29 21:09:00.830917 GUI.py
2022-11-29 21:09:08.927084 GUI.py
2022-11-29 20:26:32.538291 GUI.py
2022-11-29 20:26:57.776396 GUI.py
2022-11-29 20:27:20.862066 GUI.py
2022-11-29 20:27:54.755029 GUI.py
2022-11-29 20:28:00.134708 GUI.py
2022-11-29 20:28:52.785549 GUI.py
2022-11-29 20:32:00.243760 GUI.py
2022-11-29 20:35:53.450622 GUI.py
2022-11-29 20:35:56.603137 GUI.py
2022-11-29 20:48:08.632555 GUI.py
2022-11-29 20:49:41.672346 GUI.py
2022-11-29 20:50:28.246415 GUI.py
2022-11-29 20:51:06.532883 GUI.py
2022-11-29 21:01:01.907229 GUI.py
2022-11-29 21:01:22.474483 GUI.py
2022-11-29 21:01:44.845494 GUI.py
2022-11-29 21:02:49.936946 GUI.py
2022-11-29 21:03:20.136971 GUI.py
2022-11-29 21:03:20.185930 GUI.py
2022-11-29 21:03:20.470299 GUI.py
2022-11-29 21:03:20.470299 GUI.py
2022-11-29 21:30:56.148017 GUI.py
2022-11-29 21:31:24.617120 GUI.py
2022-11-29 21:36:38.388221 GUI.py
2022-11-29 21:36:52.917377 GUI.py
2022-11-29 21:37:37.119988 GUI.py
2022-11-29 21:20:27.246116 GUI.py
2022-11-29 21:21:49.613906 GUI.py
2022-11-29 21:24:10.029594 GUI.py
2022-11-29 21:24:30.300705 GUI.py
2022-11-29 21:24:37.588820 GUI.py
2022-11-29 21:24:45.198557 GUI.py
2022-11-29 21:26:04.365142 GUI.py
2022-11-29 21:26:12.220472 GUI.py
2022-11-29 21:26:19.436478 GUI.py
2022-11-29 21:27:05.525262 GUI.py
2022-11-29 21:27:13.308355 GUI.py
2022-11-29 21:27:23.732624 GUI.py
2022-11-29 21:30:13.980953 GUI.py
2022-11-29 21:30:19.252286 GUI.py
2022-11-29 21:32:33.716656 GUI.py
2022-11-29 21:32:38.387647 GUI.py
2022-11-29 21:33:22.924323 GUI.py
2022-11-29 21:33:27.915567 GUI.py
2022-11-29 21:34:05.124340 GUI.py
2022-11-29 21:34:51.755902 GUI.py
2022-11-29 21:36:02.443202 GUI.py
2022-11-29 21:41:07.515437 GUI.py
2022-11-29 21:41:41.875338 GUI.py
2022-11-29 21:41:49.499060 GUI.py
2022-11-29 21:42:44.226931 GUI.py
2022-11-29 21:42:51.834154 GUI.py
2022-11-29 21:42:53.826787 GUI.py
2022-11-29 21:46:12.210860 GUI.py
2022-11-29 21:47:01.274721 GUI.py
2022-11-29 21:55:14.377729 GUI.py
2022-11-29 21:55:14.993289 GUI.py
2022-11-29 21:55:15.768841 GUI.py
2022-11-29 21:55:21.720564 GUI.py
2022-11-29 21:55:26.576747 GUI.py
2022-11-29 21:56:15.201622 GUI.py
2022-11-29 21:57:42.072812 GUI.py
2022-11-29 21:57:56.272879 GUI.py
2022-11-29 21:59:52.216389 GUI.py
2022-11-29 21:59:59.496547 GUI.py
2022-11-29 22:01:01.265093 GUI.py
2022-11-29 22:01:32.312033 GUI.py
2022-11-29 22:01:52.992254 GUI.py
2022-11-29 22:02:55.001227 GUI.py
2022-11-29 22:03:02.488084 GUI.py
2022-11-29 22:04:18.048659 GUI.py
2022-11-29 22:04:24.088130 GUI.py
2022-11-29 22:30:02.776953 GUI.py
2022-11-29 22:30:15.646170 GUI.py
2022-11-29 22:30:24.416269 GUI.py
2022-11-29 22:32:28.307089 GUI.py
2022-11-29 22:32:28.630155 GUI.py
2022-11-29 22:33:56.038187 GUI.py
2022-11-29 22:35:16.630473 GUI.py
2022-11-29 22:35:29.907855 GUI.py
2022-11-29 22:35:39.014843 GUI.py
2022-11-29 22:35:57.178651 GUI.py
2022-11-29 22:36:20.527899 GUI.py
2022-11-29 22:36:37.466526 GUI.py
2022-11-29 22:36:48.612359 GUI.py
2022-11-29 22:36:51.232741 GUI.py
2022-11-29 22:37:00.487195 GUI.py
2022-11-29 22:38:02.137504 GUI.py
2022-11-29 22:38:20.652184 GUI.py
2022-11-29 22:39:49.537975 GUI.py
2022-11-29 22:39:51.719315 GUI.py
2022-11-29 22:39:54.803426 GUI.py
2022-11-29 22:40:03.771041 GUI.py
2022-11-29 22:41:33.123017 GUI.py
2022-11-29 22:41:42.798810 GUI.py
2022-11-29 22:41:45.245559 GUI.py
2022-11-29 22:41:46.424335 GUI.py
2022-11-29 22:41:46.698970 GUI.py
2022-11-29 22:41:47.229822 GUI.py
2022-11-29 22:41:47.435516 GUI.py
2022-11-29 22:41:47.613045 GUI.py
2022-11-29 22:42:01.005450 GUI.py
2022-11-29 22:42:25.950960 GUI.py
2022-11-29 22:42:39.810017 GUI.py
2022-11-29 22:42:46.341313 GUI.py
2022-11-29 22:43:08.289974 GUI.py
2022-11-29 22:44:21.144068 GUI.py
2022-11-29 22:44:22.134295 GUI.py
2022-11-29 22:44:28.121623 GUI.py
2022-11-29 22:45:02.815419 GUI.py
2022-11-29 22:45:06.627706 GUI.py
2022-11-29 22:45:21.075265 GUI.py
2022-11-29 22:45:22.205669 GUI.py
2022-11-29 22:45:26.340548 GUI.py
2022-11-29 22:46:17.180916 GUI.py
2022-11-29 22:47:05.019855 GUI.py
2022-11-29 22:47:42.714419 GUI.py
2022-11-29 22:47:56.241432 GUI.py
2022-11-29 22:48:01.428159 GUI.py
2022-11-29 22:48:27.553829 GUI.py
2022-11-29 22:49:43.876786 GUI.py
2022-11-29 22:49:54.390891 GUI.py
2022-11-29 22:49:55.382219 GUI.py
2022-11-29 22:49:55.628509 GUI.py
2022-11-29 22:49:55.805065 GUI.py
2022-11-29 22:49:55.952614 GUI.py
2022-11-29 22:52:09.682703 GUI.py
2022-11-29 22:52:18.651851 GUI.py
2022-11-29 22:52:22.728984 GUI.py
2022-11-29 22:52:23.435366 GUI.py
2022-11-29 22:52:23.642855 GUI.py
2022-11-29 22:52:23.787440 GUI.py
2022-11-29 22:54:25.444282 GUI.py
2022-11-29 22:54:27.190279 GUI.py
2022-11-29 22:54:31.189985 GUI.py
2022-11-29 22:54:33.233244 GUI.py
2022-11-29 22:55:34.042509 GUI.py
2022-11-29 22:55:47.475657 GUI.py
2022-11-29 22:56:02.989724 GUI.py
2022-11-29 22:56:04.177451 GUI.py
2022-11-29 22:56:05.130682 GUI.py
2022-11-29 22:56:06.319294 GUI.py
2022-11-29 23:04:21.865108 GUI.py
2022-11-29 23:04:31.542774 GUI.py
2022-11-29 23:04:37.178865 GUI.py
2022-11-29 23:04:38.719461 GUI.py
2022-11-29 22:13:30.518955 GUI.py
2022-11-29 22:14:10.831243 GUI.py
2022-11-29 22:14:18.446399 GUI.py
